domain_id,labels
2m4vA00,"15,10,0,2,14,17,9,14,5,15,14,9,5,0,17,15,19,3,16,2,14,11,6,2,9,0,12,14,13,7,0,14,19,14,16,2,11,5,3,3,4,3,17,12,4,0,2,2,0,3,7,12,5,16,18,9,1,14,11,5,10,3,5,16,9,7,3,5,2,9,12,3,12,8,8,17,8,12,12,14"
4illB01,"10,12,9,7,4,8,7,5,19,11,17,7,12,9,13,2,17,7,9,12,16,12,15,15,8,17,9,8,19,9,7,13,15,5,8,9,7,12,15,9,8,2,9,7,16,15,14,2,8,19,8,12,7,4,7,15,6,9,5,4,11,13,14,14,7,4,13,16,11,5,11,9,8,16,7,16,8,5,15,14,9,15,15,7,7,0,4,15,16,13,0,11,17,9,15,3,17,0,2,3,5,7,4,3,16,17,19,5,8,4,6,7,10,7,3,15"
2hjsA02,"0,17,0,0,3,9,1,3,17,9,0,12,9,9,0,16,9,2,1,14,13,9,11,9,16,0,1,9,15,17,15,15,9,5,14,3,5,17,8,3,9,0,14,13,16,0,3,9,9,11,0,14,12,9,3,12,14,9,4,2,14,13,7,0,4,11,9,9,0,13,17,5,0,17,2,0,3,5,6,15,0,7,3,14,14,7,4,0,3,17,13,0,9,9,5,3,14,7,5,12,9,11,17,16,1,7,13,0,12,17,4,4,5,2,15,9,15,17,16,9,13,1,0,3,12,17,2,9,0,0,17,16,14,17,9,2,0,16,8,5,7,3,18,17,5,3,5,2,19,12,16,17,17,5,2,0,9,5,13,2,3,16,19,17,5,14,17,14,0,5,13,0,2,12,1,13,17,11,9,18,7,17,15,2"
2kktA00,"5,15,6,10,5,12,3,3,9,14,15,9,9,16,16,13,1,5,17,7,15,3,6,16,8,8,10,1,16,14,15,9,14,1,12,13,6,16,2,3,13,14,14,16,17,14,17,19,4,9,5,12"
2hgsA01,"10,0,16,11,18,5,15,9,9,13,2,8,13,13,9,3,3,9,0,14,13,0,17,2,14,0,9,0,3,5,17,9,9,14,16,15,13,3,12,16,15,15,3,17,17,15,19,0,12,4,16,9,4,12,15,14,16,12,0,17,6,14,6,17,9,15,17,9,15,8,16,8,3,0,5,8,7,4,3,11,1,9,9,14,12,5,15"
1v65A00,"5,15,15,5,15,15,5,17,16,19,2,2,17,6,10,11,4,16,3,3,3,18,2,9,9,2,15,15,13,8,14,9,19,3,3,17,10,9,3,16,19,13,11,9,16,2,7,5,19,11,18,13,2,6,6,7,3,3,15,5,12,15,15,5"
4dkjA02,"12,12,8,8,7,8,2,7,9,17,2,15,15,11,19,8,19,9,11,9,11,8,19,3,16,16,16,4,14,3,16,8,15,11,7,7,15,14,12,9,8,11,19,16,16,4,11,15,3,11,19,17,19,11,7,11,5,7,5,12,16,9,16,0,15,5,0,11,15,14,7,8,7,3,16,13,13,5,17,14,19,9,16,12,9,3,1,4,8,19,10,13"
2pgnA01,"10,0,7,8,14,5,0,2,9,7,17,3,0,9,3,3,19,5,16,3,13,17,17,5,4,7,5,6,16,15,6,4,17,0,2,0,4,15,8,15,6,9,5,8,14,17,7,11,12,0,16,3,9,5,5,0,18,10,17,11,5,19,11,19,17,8,2,14,15,0,0,17,5,0,18,6,1,17,5,11,9,9,9,6,0,0,10,13,3,0,14,16,5,14,7,12,0,17,6,7,5,9,11,15,2,5,14,9,0,5,14,15,3,0,0,13,13,17,12,18,13,15,4,16,12,7,0,14,15,16,13,14,17,3,14,9,2,8,17,5,3,0,7,6,3,0,4,14,17,0,3,5,6,12,0,5,12,0,19,17,2,7,12,4,2,9,16,0,2,13,7,2,2,8,0,9,17,12,14,5,0,16,14,0,8,15,17"
5gqoA00,"3,16,12,4,16,17,17,5,11,7,7,16,11,12,17,14,9,14,4,5,2,13,3,9,19,8,4,14,17,0,15,11,15,14,14,14,15,12,3,5,16,18,3,12,5,11,15,9,19,17,16,17,11,1,18,5,11,9,0,14,5,17,15,0,15,9,5,8,5,2,15,17,17,17,17,5,6,9,19,16,11,3,19,3,2,14,3,5,17,14,14,15,15,17,3,17,14"
5f7vA00,"15,10,1,5,5,5,15,15,15,5,2,8,16,3,7,16,19,19,13,4,15,0,12,0,2,5,8,0,9,2,3,10,17,8,3,4,3,8,13,11,12,2,7,8,17,11,17,13,16,7,0,4,11,2,19,4,16,8,9,13,16,13,7,0,5,5,2,0,12,2,0,4,3,9,11,19,3,16,4,10,13,19,0,3,8,5,17,9,0,2,9,16,15,19,7,3,8,2,8,2,4,2,12,15,16,9,11,8,13,0,19,2,0,4,8,19,2,5,8,13,19,5,10,17,3,15,4,15,11,17,17,16,7,19,11,8,2,9,4,2,8,0,5,17,3,19,12,16,0,2,18,16,18,8,2,3,3,0,0,0,8,8,9,16,2,0,8,11,8,17,18,5,16,15,13,12,17,16,10,11,3,4,19,8,17,0,0,13,11,5,5,15,7,4,11,3,2,9,16,3,16,16,7,11,15,12,3,11,17,3,0,9,16,6,9,16,11,3,17,16,2,15,8,17,0,12,15,12,0,2,9,15,5,13,9,12,3,2,9,4,10,11,5,13,7,0,10,9,6,16,5,7,18,9,4,2,10,4,13,2,0,12,4,8,18,2,17,13,17,3,0,5,11,16,13,8,0,16,6,4,4,0,11,5,7,5,17,15,8,2,15,2,8,8,3,0,0,4,8,4,0,15,4,10,15,0,11,3,3,0,0,8,7,14,7,2,11,11,18,3,9,12,0,16,3,11,8,3,7,9,13,12,19,9,2,0,16,12,12,2,11,14,3,0,17,4,3,15,9,13,19,10,17,9,12,12,17,17,8,2,18,11,8,7,15,2,19,16,11,15,3,4,3,8,17,9,11,5,2,15,16,12,3,8,0,9,8,11"
