objid,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,type
1237668504903614866,249.490153405103,55.1514369207013,23.68451,21.39811,20.67514,19.99474,19.68875,GALAXY
1237678905705496902,352.319213862796,9.03937652981855,25.50177,22.23817,20.35363,-9999.0,19.04753,GALAXY
1237665129620177669,191.973058361528,35.6685762243722,23.29363,23.13536,21.54516,20.33303,19.5955,GALAXY
1237665373868262174,235.781532630601,22.5486144641658,23.39743,-9999.0,20.76465,19.92709,-9999.0,GALAXY
1237679322324074909,34.0617565500905,-5.14821415925094,-9999.0,-9999.0,20.99208,20.32286,19.83057,GALAXY
1237662193989124664,183.452560970029,41.9198105304028,23.185,22.50611,20.49911,-9999.0,19.23958,GALAXY
1237668348135801356,214.413675373971,14.1093276334946,26.02964,-9999.0,20.20475,19.3274,18.7646,GALAXY
1237679167158222937,22.5170469319138,15.5091748215297,19.58845,17.72418,16.64288,16.15775,15.76238,GALAXY
1237655129307480644,256.148656494056,34.0672482498232,-9999.0,18.69792,17.48798,16.98067,-9999.0,GALAXY
1237679440425452236,35.6715776025977,-5.59511052967435,25.41557,22.16905,21.43614,20.58537,20.15105,GALAXY
1237666090588045478,17.3594578905881,13.7576860637377,19.00268,17.73949,17.09486,16.71526,16.4906,GALAXY
1237660764302344579,133.412368269692,31.5691039709501,23.94547,21.38916,19.71567,-9999.0,-9999.0,GALAXY
1237654399153602994,171.875261676041,64.0078832965445,24.34171,22.26344,20.38538,19.26232,18.72136,GALAXY
1237660583372849282,157.538087999988,8.37695632661609,19.90661,-9999.0,16.94798,16.51644,16.18514,GALAXY
1237662335720883491,244.928937578535,27.7133922015768,22.85712,22.16142,21.04839,20.10109,19.95892,GALAXY
1237652900754292870,14.2792214884981,-9.68628422730901,20.98125,19.10494,17.86232,17.38774,-9999.0,GALAXY
1237679435591713525,358.8655164154,-1.97197407503423,22.34262,22.45593,21.50381,20.47698,19.83415,GALAXY
1237662193462214757,212.719065599534,38.0076749371022,-9999.0,-9999.0,17.16748,16.70081,16.34958,GALAXY
1237665331461685382,181.519997483921,33.3605607145407,21.93168,19.91836,18.2512,-9999.0,17.37275,GALAXY
1237661435920056485,188.727274979734,48.6928594284503,20.55327,18.64628,17.7706,-9999.0,16.90815,GALAXY
1237657590855368860,165.875280582279,53.7000849496355,19.70275,17.69389,16.78481,-9999.0,16.06675,GALAXY
1237658205044408735,170.88843782931,49.41489208253,24.98207,22.09567,20.47576,19.61481,19.10437,GALAXY
1237661360764813432,213.278137322608,43.1183755186585,19.52777,-9999.0,16.55719,16.07807,15.75545,GALAXY
1237651252577632382,211.257322330327,63.8407297172638,20.59325,18.33377,-9999.0,16.94876,16.59029,GALAXY
1237664852043956283,239.607244676659,22.7786089782854,23.56112,-9999.0,18.04454,17.33281,16.6841,GALAXY
1237662195061555945,179.311847548759,42.6339993919414,-9999.0,22.48243,-9999.0,-9999.0,19.23237,GALAXY
1237658801493704821,157.164757627848,51.2208300439651,25.54874,22.50878,20.50716,19.58426,-9999.0,GALAXY
1237679322324927495,36.1338445661534,-5.03117287851834,-9999.0,23.07867,-9999.0,20.86496,20.66608,GALAXY
