objid,type
1237662302431347156,STAR
1237667781757567228,STAR
1237660583909130243,STAR
1237667212664373457,STAR
1237669517444251819,STAR
1237664094513594372,STAR
1237661383308673206,STAR
1237663784207057673,STAR
1237661435931131924,STAR
1237671261744791789,STAR
1237667733954035848,STAR
1237662264317772007,STAR
1237650796755550591,STAR
1237661388693110879,STAR
1237665331456049166,STAR
1237663784209678464,STAR
1237668311093740550,STAR
1237665570374812672,STAR
1237663784740323499,STAR
1237679454925881941,STAR
1237668350817206541,STAR
1237660241386274989,STAR
1237659326560141421,STAR
1237666090056548536,STAR
1237653589016379524,STAR
1237668678845464963,STAR
1237680333256589369,STAR
1237649920580321408,STAR
1237660634920452121,STAR
1237657192517402775,STAR
1237657607498039329,STAR
1237665178447904914,STAR
1237648722827935861,STAR
1237678580369195162,STAR
1237668271900131601,STAR
1237660961329775042,STAR
1237680478197055875,STAR
1237663277392330933,STAR
1237651495222050956,STAR
1237680306932024827,STAR
1237655107823010315,STAR
1237680502899212531,STAR
1237663786879091058,STAR
1237657630603149370,STAR
1237651272416166191,STAR
1237678618476413888,STAR
1237651211214258556,STAR
1237651533872627758,STAR
1237665369036424143,STAR
1237662193450877252,STAR
1237663786878697745,STAR
1237661871873196096,STAR
1237663204917837926,STAR
1237663456702628454,STAR
1237672816513450756,STAR
1237661949723476716,STAR
1237672816511418883,STAR
1237665566085350120,STAR
1237661851475771574,STAR
1237667227690991699,STAR
1237663233380122662,STAR
1237665427555090919,STAR
1237673473637417031,STAR
1237652947996573739,STAR
1237653007583806412,STAR
1237658611442188335,STAR
1237671938723349002,STAR
1237672765506060512,STAR
1237651736821498531,STAR
1237679996627583127,STAR
1237659930001802057,STAR
1237671939823897242,STAR
1237680529745249135,STAR
1237662264859754645,STAR
1237660634919534624,STAR
1237667228219932986,STAR
1237662620260499616,STAR
1237665583262925619,STAR
1237648722307121172,STAR
1237672765523886167,STAR
1237661966350090373,STAR
1237662964929004526,STAR
1237662225160994865,STAR
1237659326018617389,STAR
1237663782592446674,STAR
1237663275796463895,STAR
1237669761720452470,STAR
1237657118402150651,STAR
1237680473365808128,STAR
1237665571438788957,STAR
1237651753996714119,STAR
1237674650994868349,STAR
1237662640658579645,STAR
1237649963530977413,STAR
1237660764292972572,STAR
1237661949185556688,STAR
1237672838520963076,STAR
1237651249909662642,STAR
1237662662673957170,STAR
1237651225710298484,STAR
1237662474229318043,STAR
1237654604785385821,STAR
1237663917335248930,STAR
1237673309355376769,STAR
1237648722284970533,STAR
1237661063879065963,STAR
1237655124483113752,STAR
1237657628980740557,STAR
1237660765367632539,STAR
1237659133281566968,STAR
1237655373578371565,STAR
1237680091647771823,STAR
1237679503775105452,STAR
1237667107964190958,STAR
1237673843544687686,STAR
1237663784208695562,STAR
1237668623013314678,STAR
1237658425162465424,STAR
1237666216223703351,STAR
1237673311502533093,STAR
1237656538589298706,STAR
1237652599564992618,STAR
1237657593541230760,STAR
1237651539799441445,STAR
1237674462016766406,STAR
1237667228759359768,STAR
1237654390566355057,STAR
1237667730195742804,STAR
1237651752945844668,STAR
1237664089682215297,STAR
1237671690690363535,STAR
1237662239086871267,STAR
1237651496826503259,STAR
1237662303511576659,STAR
1237678617399328873,STAR
1237657627914797214,STAR
1237665367968186844,STAR
1237663277926056048,STAR
1237648721746264340,STAR
1237667782856867930,STAR
1237657627902607737,STAR
1237659327104352753,STAR
1237662499465068659,STAR
1237679504324231779,STAR
1237669696763921216,STAR
1237658612518486258,STAR
1237678809070109398,STAR
1237658611445006684,STAR
1237666302168334647,STAR
1237662638511620203,STAR
1237671141472469263,STAR
1237676440924389908,STAR
1237678889056600295,STAR
1237679255206363417,STAR
1237673706646864475,STAR
1237651737921781891,STAR
1237680332718735643,STAR
1237664853651423609,STAR
1237673017302122541,STAR
1237666184031896246,STAR
1237667253456143265,STAR
1237673709861142639,STAR
1237673809724572091,STAR
1237667253460664669,STAR
1237655464314798550,STAR
1237655130917897172,STAR
1237674648851644513,STAR
1237680530811650770,STAR
1237657874327929220,STAR
1237678437015748821,STAR
1237678619020492854,STAR
1237674285931168749,STAR
1237665102752514295,STAR
1237657873791910576,STAR
1237679542968844570,STAR
1237666434728657027,STAR
1237671768535531726,STAR
1237648720159768622,STAR
1237652600639324465,STAR
1237662305658601518,STAR
1237667254015492117,STAR
1237652946386354198,STAR
1237665226765762602,STAR
1237651496831943456,STAR
1237667212132745291,STAR
1237655502962229471,STAR
1237679461360599117,STAR
1237664853117042837,STAR
1237652943171747930,STAR
1237652629102264416,STAR
1237662225668440166,STAR
1237662237475274935,STAR
1237673705035858472,STAR
1237673452703842331,STAR
1237651191895163075,STAR
1237660345006293148,STAR
1237657773926514832,STAR
1237658492262154317,STAR
1237661210433552395,STAR
1237664835933438072,STAR
1237658311868809249,STAR
1237678881012383995,STAR
1237651272434712602,STAR
1237662307280421911,STAR
1237652947458916430,STAR
1237679503778709835,STAR
1237657874333106450,STAR
1237678855232160874,STAR
1237672024625710164,STAR
1237678860075401505,STAR
1237662226227396779,STAR
1237664289394524216,STAR
1237680074466525200,STAR
1237662525766303904,STAR
1237678597553193172,STAR
1237666462650532322,STAR
1237657609112912621,STAR
1237657610727784881,STAR
1237671939268215017,STAR
1237666090590339253,STAR
1237663783665074253,STAR
1237680332168038398,STAR
1237678617938362957,STAR
1237669703200342139,STAR
1237664131547333162,STAR
1237668758848602569,STAR
1237663787959059207,STAR
1237678595929080213,STAR
1237671260659188190,STAR
1237666408479195548,STAR
1237657192520024289,STAR
1237671941433984806,STAR
1237667910064931069,STAR
1237663786877518234,STAR
1237663783665467560,STAR
1237662224624845061,STAR
1237666300553659295,STAR
1237668297665741014,STAR
1237666215148126421,STAR
1237657069546111022,STAR
1237665128007729395,STAR
1237662195064570371,STAR
1237678918585090068,STAR
1237657857684996136,STAR
1237680328408825971,STAR
1237668679927267985,STAR
1237678579284770957,STAR
1237651272425209863,STAR
1237672765516874123,STAR
1237665429165113903,STAR
1237667447805575277,STAR
1237658205594845748,STAR
1237658611984695381,STAR
1237678617418727667,STAR
1237673474182283840,STAR
1237658800425926935,STAR
1237680333779174075,STAR
1237658423543464512,STAR
1237663230696163159,STAR
1237664673790492900,STAR
1237662266470170752,STAR
1237661970123194452,STAR
1237657190367035488,STAR
1237651754004185223,STAR
1237662225705206971,STAR
1237661150309122342,STAR
1237680479271387324,STAR
1237656906346332381,STAR
1237668293372346512,STAR
1237670014589468902,STAR
1237663788490096826,STAR
1237663785282633808,STAR
1237663785284796582,STAR
1237678583040704581,STAR
1237668297668756030,STAR
1237657634335621425,STAR
1237663917871531047,STAR
1237668571474624745,STAR
1237662301913022572,STAR
1237659326024188064,STAR
1237658918534054311,STAR
1237678808531665355,STAR
1237678920202190990,STAR
1237680001991311368,STAR
1237665229987316449,STAR
1237660583908147350,STAR
1237667536393470276,STAR
1237663272017396384,STAR
1237652942099513553,STAR
1237662302438752291,STAR
1237673739396317365,STAR
1237664294220136551,STAR
1237664818753306792,STAR
1237662963856114734,STAR
1237661387599249586,STAR
1237660412648423757,STAR
